PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
17359--COSMOS 1816,10693--SL-8 R/B,0.229052361,29:50.1,4.55717263,-4.552745686,0.03927209,0.196943656,14.52410367,0.029130106,14.35760342,-2.192706771,-35.95167444,91.38616945,997.8677897,10/26/19 20:20,10/26/19 21:17,975,975,10/28/19 0:00
21130--COSMOS 2135,10600--SL-8 R/B,0.24740485,56:15.8,3.558119658,-1.629280209,1.972018582,2.473217382,11.54394589,-0.056392835,9.007487453,-7.21974212,78.6207826,-89.43621844,951.2907178,10/26/19 22:29,10/26/19 17:21,975,975,10/28/19 0:00
5238--COSMOS 422,24306--SL-8 R/B,0.255804549,08:21.5,2.748618978,-2.721687561,-0.100350772,-0.370476489,14.1624529,-0.000738356,13.67088246,-3.698924739,-40.15592948,-72.08951118,1014.294479,10/26/19 20:34,10/26/19 19:51,975,975,10/28/19 0:00
16511--SL-8 R/B,21667--SL-8 R/B,0.264598866,21:01.3,3.976337663,1.909681246,-1.086727823,-3.314121511,14.00763736,0.016225397,13.31305508,-4.356168688,66.8056284,-26.70466419,985.5155505,10/26/19 14:46,10/26/19 21:49,975,975,10/28/19 0:00
21397--OKEAN 3,29713--PSLV R/B,0.276811042,38:36.5,3.779496739,-3.770814791,0.105295534,-0.233375803,13.82385998,0.006931648,12.63691865,5.60422553,81.62625206,21.83286767,610.9296627,10/26/19 18:57,10/26/19 22:08,615,615,10/28/19 0:00
10520--COSMOS 968,16682--SL-8 R/B,0.278815845,41:29.7,4.025740093,-0.760513878,-1.152010695,-3.781675991,14.26704266,0.023661742,13.6465272,-4.161759464,19.60797385,-46.88881264,784.1314287,10/26/19 21:35,10/26/19 21:17,775,775,10/28/19 0:00
7593--COSMOS 700,17067--SL-8 R/B,0.27997713,43:10.0,4.618856123,-4.223636372,-0.225341568,-1.855787935,14.62041185,0.024796767,14.50746425,-1.813645173,-8.724046949,92.59820112,970.9814152,10/26/19 19:52,10/26/19 22:22,975,975,10/28/19 0:00
10732--SL-8 R/B,5051--SL-8 R/B,0.285209641,50:42.1,3.787496839,-0.495898652,-1.335794147,3.509255024,13.77915229,0.034134381,12.87595817,4.906482838,40.34700841,-161.277595,974.9220931,10/26/19 15:29,10/26/19 21:27,975,LEO,10/28/19 0:00
26960--PSLV R/B,33505--SL-14 R/B,0.285386181,50:57.4,4.403851635,-1.13390447,-0.024048954,-4.255301578,15.23408603,-0.048586077,15.23382697,-0.074379764,66.15121708,128.8910042,528.0828469,10/26/19 22:35,10/26/19 20:48,615,615,10/28/19 0:00
11750--COSMOS 1171,27006--SL-16 R/B,0.29535162,05:18.4,4.542764724,3.712380183,1.591890258,-2.078660656,11.68712591,-0.016697886,9.293854405,7.086106368,-65.70469727,87.3761534,1015.067902,10/26/19 16:33,10/26/19 21:39,975,975,10/28/19 0:00
13617--COSMOS 1417,33319--SL-24 R/B,0.299175752,10:48.8,1.761779916,0.834960732,-0.857785475,-1.29263805,12.10096573,-0.389840313,9.960630426,-6.860556663,-80.92224181,57.03088327,1006.758091,10/27/19 0:49,10/26/19 16:08,975,LEO,10/28/19 0:00
10520--COSMOS 968,8344--SL-8 R/B,0.302072894,14:59.1,4.428095462,3.608474644,2.226236742,-1.277031767,7.418093645,-0.001710696,3.693138305,6.433415878,-71.60626555,71.60881635,798.3698718,10/26/19 21:35,10/26/19 15:01,775,775,10/28/19 0:00
12442--COSMOS 1269,23432--SL-8 R/B,0.303675208,17:17.5,2.327378427,0.46561042,-2.049837394,0.999031501,6.525815714,0.004516443,2.859428221,5.865996981,-72.28561687,-100.3300112,806.7390016,10/26/19 21:36,10/26/19 22:09,775,775,10/28/19 0:00
17535--COSMOS 1823,6921--DELTA 1 R/B,0.306128854,20:49.5,4.123619261,2.053010966,-1.064177438,-3.414221458,13.5428815,0.021714757,12.93306832,-4.018073144,-73.53898131,172.9783122,1546.217901,10/26/19 19:12,10/27/19 0:00,1500,1500,10/28/19 0:00
14624--COSMOS 1531,20804--COSMOS 2100,0.307397928,22:39.2,1.976113707,-0.357335812,1.855567812,0.578104314,4.386191265,0.03948807,1.311720708,-4.185272188,82.63106913,89.56097644,1004.612188,10/26/19 22:42,10/26/19 18:57,975,975,10/28/19 0:00
21087--INFORMATOR 1,21902--COSMOS 2181,0.308659537,24:28.2,4.565020809,1.210403169,0.587545905,-4.362238985,14.53506936,0.0074317,14.40459798,1.943127111,-23.14892003,-27.12538556,1015.313683,10/27/19 2:55,10/26/19 13:30,975,975,10/28/19 0:00
8073--SL-8 R/B,10693--SL-8 R/B,0.315936493,34:56.9,4.043590406,-2.212719692,0.50379718,3.346742197,14.56045371,0.01661883,14.39986957,-2.156453675,34.11342583,69.82971072,982.2093384,10/26/19 21:04,10/26/19 21:17,975,975,10/28/19 0:00
