PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
10352--COSMOS 951,10776--COSMOS 1000,0.114196134,44:26.5,4.702091749,1.960772494,-0.569914078,4.235591575,14.54596315,-0.022909661,14.41473448,1.949345806,23.81575735,10.56695805,1008.265202,12/9/19 21:56,12/9/19 21:03,975,975,12/11/19 0:00
5721--COSMOS 469,9494--COSMOS 861,0.115288935,46:01.0,3.393667805,-2.704641209,-1.910470207,-0.742967488,5.144025715,0.047122889,1.806324252,-4.81621975,62.96022073,60.28914969,976.1793165,12/9/19 22:47,12/9/19 14:13,975,975,12/11/19 0:00
10019--COSMOS 911,7594--SL-8 R/B,0.118513299,50:39.5,3.333711224,0.222559232,1.52027702,-2.958522554,13.09947229,-0.03496152,11.6518505,5.98576077,74.52210448,5.465315558,987.6309098,12/9/19 20:01,12/9/19 14:49,975,975,12/11/19 0:00
8072--COSMOS 755,11320--COSMOS 1091,0.134317569,13:25.0,4.210009561,-3.543114114,2.096134074,-0.881331278,5.72905254,0.009332718,2.233697304,5.275656571,-82.3415152,-138.8450574,995.1542909,12/9/19 17:43,12/9/19 21:15,975,975,12/11/19 0:00
6708--SL-8 R/B,10777--SL-8 R/B,0.136207546,16:08.3,4.401593814,-4.159370782,0.238429554,1.420145821,14.52152243,0.021027477,14.33139751,-2.342053972,40.57520151,155.1824776,988.458367,12/9/19 21:55,12/9/19 22:09,975,975,12/11/19 0:00
6149--SL-8 R/B,17160--SL-8 R/B,0.151891134,38:43.4,3.63170258,-0.693701815,-1.26718545,3.332008772,13.79336102,0.012256012,12.89190863,4.904625362,69.84574315,139.214416,969.9593906,12/9/19 20:21,12/9/19 20:39,975,975,12/11/19 0:00
9061--COSMOS 846,23604--SL-8 R/B,0.156175382,44:53.6,3.330692529,2.826445435,-0.264084465,-1.742118918,14.52371233,0.026676045,14.36624112,-2.132750354,33.09039367,72.38218256,1007.068088,12/9/19 20:54,12/9/19 20:35,975,975,12/11/19 0:00
23092--COSMOS 2279,13758--SL-8 R/B,0.156651574,45:34.7,4.082192613,2.988356433,-0.446610242,-2.7449156,14.5598563,0.023673555,14.37526184,-2.310995918,39.39153121,-139.3706469,972.4152266,12/9/19 20:06,12/9/19 18:51,975,975,12/11/19 0:00
27597--ADEOS 2,15772--SL-12 R/B(2),0.170096447,04:56.3,3.314837638,3.310926286,0.130883326,-0.093729675,8.78946518,-0.00300455,5.167903806,7.109673648,65.60932412,132.8274121,811.2646859,12/9/19 21:02,12/9/19 21:19,775,LEO,12/11/19 0:00
4589--SL-8 R/B,5707--SL-8 R/B,0.176780926,14:33.9,2.970879257,-0.189688051,-1.409750429,-2.608207379,13.17785542,0.026715244,11.59202324,-6.267388371,54.85127575,96.24941434,753.7989858,12/9/19 17:41,12/9/19 21:18,775,775,12/11/19 0:00
25394--RESURS O1-N4,12646--SL-3 R/B,0.185103102,26:32.9,2.82831775,-0.167697885,-0.003131448,2.823340027,14.88734952,0.036829717,14.88729062,0.019933043,-47.52170972,143.8959419,829.8535645,12/10/19 1:17,12/10/19 2:29,850,LEO,12/11/19 0:00
8073--SL-8 R/B,15293--SL-8 R/B,0.190510185,34:20.1,3.701977446,-2.610322085,1.934678415,-1.774225197,9.919839623,0.00938177,6.711707294,7.304527044,-80.40543882,176.6738144,1022.482975,12/9/19 21:05,12/9/19 20:18,975,975,12/11/19 0:00
12091--COSMOS 1226,13617--COSMOS 1417,0.203991713,53:44.9,4.248330412,3.116734163,-1.700911032,2.332633941,11.86595861,-0.002082052,9.586656115,6.992638555,78.03040181,-149.6810324,1014.313089,12/9/19 21:49,12/10/19 3:11,975,975,12/11/19 0:00
6828--COSMOS 586,23466--SL-8 R/B,0.207774583,59:11.7,3.488702187,-1.737338904,-0.399125836,2.998898973,14.6334776,0.001447941,14.50561522,1.93023102,21.20534356,-22.70902322,963.8773499,12/9/19 20:40,12/9/19 21:30,975,975,12/11/19 0:00
25590--COSMOS 2361,36123--CZ-4C R/B,0.213911875,08:02.0,3.312532863,-3.270392274,-0.415016512,0.324298684,9.011889301,0.016243818,5.468666478,7.162930397,-75.52068103,-140.7762786,994.3309572,12/9/19 21:25,12/9/19 17:26,975,LEO,12/11/19 0:00
13260--SL-8 R/B,20509--SL-8 R/B,0.229129074,29:56.8,3.449458711,0.866517983,-0.913535622,3.211442768,14.20226751,-0.030938767,13.65813384,3.893433628,-11.20448246,34.47611573,960.9046769,12/9/19 21:13,12/9/19 19:50,975,975,12/11/19 0:00
7593--COSMOS 700,21230--COSMOS 2142,0.246768657,55:20.8,3.802186784,3.067989877,-0.281383382,-2.228202379,14.64703572,0.026110276,14.53585458,-1.801084443,4.028091469,27.02176819,966.2371435,12/9/19 21:11,12/9/19 21:12,975,975,12/11/19 0:00
21230--COSMOS 2142,12088--SL-8 R/B,0.255374329,07:44.3,3.842346487,2.679980459,0.495362911,-2.708495312,14.51143293,-0.03056603,14.28026435,2.579690185,46.57087975,30.89196086,978.4423564,12/9/19 21:12,12/10/19 2:00,975,975,12/11/19 0:00
12835--COSMOS 1308,8421--SL-8 R/B,0.263899907,20:01.0,2.824377564,-2.648703096,0.840683381,-0.504709804,7.537177222,-0.007586645,3.861458847,6.472875597,-81.82097116,-87.44539948,989.7958112,12/9/19 20:48,12/9/19 22:07,975,975,12/11/19 0:00
11804--SL-8 R/B,27006--SL-16 R/B,0.276894236,38:43.7,4.832421492,-4.773132656,-0.734311361,0.174037219,3.782210072,-0.015510374,0.967094106,3.65644656,56.15084115,129.627744,989.447899,12/9/19 21:19,12/10/19 3:23,975,975,12/11/19 0:00
6828--COSMOS 586,23466--SL-8 R/B,0.28055397,43:59.9,1.693077686,-1.686827815,0.01935205,-0.14404677,14.63349029,0.001085768,14.5056265,1.930242638,21.29842086,-49.02205507,963.9100753,12/9/19 20:40,12/9/19 21:30,975,975,12/11/19 0:00
8924--SL-8 R/B,13992--SL-8 R/B,0.284073611,49:04.0,2.929199157,2.867686605,0.423292261,-0.421194604,10.54101999,-0.001649461,7.442383973,7.464852339,67.27887467,101.4205746,789.3280508,12/9/19 20:45,12/9/19 21:57,775,775,12/11/19 0:00
14084--COSMOS 1464,21090--SL-8 R/B,0.284765949,50:03.8,1.001563345,0.140727435,0.529130767,-0.838656995,12.41318767,0.033391586,10.49551029,6.627999459,-76.74138474,-45.76190161,1013.77738,12/9/19 21:16,12/9/19 20:51,975,975,12/11/19 0:00
10137--COSMOS 926,14084--COSMOS 1464,0.288786644,55:51.2,2.694201409,1.705594802,-0.486854652,-2.027964534,14.27366483,0.007515788,13.88067329,-3.326313298,-58.28854233,-27.23573102,1017.703727,12/9/19 21:19,12/9/19 21:16,975,975,12/11/19 0:00
11736--SL-8 R/B,14625--SL-8 R/B,0.292831875,01:40.7,3.293046012,2.690049352,-0.539554315,-1.821172058,14.06179993,0.018053886,13.48910748,-3.972136804,-64.27311174,-143.8617938,1025.548728,12/9/19 21:07,12/10/19 4:07,975,975,12/11/19 0:00
5238--COSMOS 422,11379--SL-8 R/B,0.294352512,03:52.1,1.304500866,0.58824047,0.341997513,1.11298399,14.05311186,-0.016583784,13.43635275,-4.117536006,-47.03693883,161.761227,1001.78659,12/10/19 5:02,12/9/19 19:55,975,975,12/11/19 0:00
13617--COSMOS 1417,15516--METEOR 2-12,0.306513009,21:22.7,4.759573329,1.082728815,1.460915031,4.398518371,13.97455078,0.000511585,13.26223185,-4.404687907,-66.59681104,-134.8304285,981.6194755,12/10/19 3:11,12/10/19 4:13,975,975,12/11/19 0:00
