PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
8344 -- SL-8 R/B,15032 -- SL-8 R/B,0.9683337962962963,Thu 07 Dec 2017 23:14:24 GMT,3.351790813407076,2.835317206857326,1.6451428701160475,-0.699273144233739,5.703693044600979,-0.023906231763912385,-2.1903056509604175,-5.2663178782222495,-72.74207705262606,-13.520447191326824,792.0551552832267,160573.012704,95020.161704,775,775,Fri 08 Dec 2017 01:51:18 GMT
11511 -- SL-8 R/B,15483 -- SL-8 R/B,0.520880150462963,Thu 07 Dec 2017 12:30:04 GMT,4.66594238622046,-0.1209236920967669,-4.399853460752173,-1.5484461037199944,4.957998768598702,0.029269172066174062,-1.6485151700291487,4.675820017833939,-73.11276182720987,23.489272629432858,792.2756675220412,88847.826824,73984.660824,775,775,Fri 08 Dec 2017 01:51:18 GMT
16012 -- SL-8 R/B,8343 -- COSMOS 773,0.5476738194444445,Thu 07 Dec 2017 13:08:39 GMT,3.6059850808050458,-0.07922762044017873,-1.9695594530748204,-3.0195507857871706,12.482031347373857,-0.01821584426877007,-10.449471906960822,6.827101259354352,-60.10034546465773,-125.96003334983672,795.2996768835635,53113.05124,142645.35424000002,775,775,Fri 08 Dec 2017 01:51:18 GMT
16012 -- SL-8 R/B,11510 -- COSMOS 1125,0.33159202546296296,Thu 07 Dec 2017 07:57:29 GMT,3.1110075426854205,-2.0205393228279718,1.9809870700431056,-1.2928569154681173,8.148385594519668,0.0004943000719708837,-4.459437952452157,-6.819794769703293,-70.87520840993274,-143.01920980754454,806.2218222220978,34443.584104,40913.736103999996,775,775,Fri 08 Dec 2017 01:51:18 GMT
5705 -- COSMOS 468,8923 -- COSMOS 836,0.008841631944444444,Thu 07 Dec 2017 00:12:43 GMT,3.6661522175979324,-1.879729390864668,-2.7940274023708187,1.4493793066414071,6.888670471246286,0.019243232188947787,-3.1837491034218353,-6.10877665379052,72.11116153414461,-116.01017322803115,798.6016602033641,104021.21331199999,19482.51631199999,775,775,Fri 08 Dec 2017 01:51:18 GMT
11510 -- COSMOS 1125,12442 -- COSMOS 1269,0.589384212962963,Thu 07 Dec 2017 14:08:42 GMT,2.209387060771894,-1.4513452624405545,-0.4606376923916396,1.6008750825250755,14.319284309831383,0.016932256388057565,-13.753888127611225,-3.9839901879437227,9.193273248879862,-3.5345409444034166,793.5236619908941,63186.981032,54498.309032,775,775,Fri 08 Dec 2017 01:51:18 GMT
13991 -- COSMOS 1452,17303 -- COSMOS 1814,0.17014579861111112,Thu 07 Dec 2017 04:05:00 GMT,4.006070432140812,-0.3921207519933887,-3.315677345853299,2.213848540737061,8.300839556068489,-0.018717862621398806,-4.609713593550918,-6.903196908870706,70.78437908512934,117.74768381085352,786.3716354224589,17479.433504,17702.124504,775,775,Fri 08 Dec 2017 01:51:18 GMT
16860 -- COSMOS 1763,36089 -- CZ-2C R/B,0.5488306018518518,Thu 07 Dec 2017 13:10:18 GMT,3.8269232930218666,-0.1295375281242741,1.0204736809334716,-3.6860813048549463,14.348927646334314,0.010082258604994652,-13.824903841203067,-3.842350417295034,70.73633424968949,37.99719208741191,792.5314455517018,55810.553224,47982.073224,775,775N,Fri 08 Dec 2017 01:51:18 GMT
16181 -- COSMOS 1697,23405 -- SL-16 R/B,0.7054162037037037,Thu 07 Dec 2017 16:55:47 GMT,2.898781456633573,2.8898868371134085,-0.1036683897236362,-0.20184366965247316,13.362111282703927,-0.015448777999066353,-12.027206022516637,5.8216917265139925,-41.664572908396984,77.93978572812306,857.7082350658385,90988.157832,64897.84983200001,850,850,Fri 08 Dec 2017 01:51:18 GMT
22220 -- SL-16 R/B,19119 -- COSMOS 1943,0.0022051736111111113,Thu 07 Dec 2017 00:03:10 GMT,2.472951085444131,-2.3880426236783023,-0.6051735275351676,0.21564902056753635,5.195956436970679,0.021075413667683507,-1.8158417299853635,-4.868289014990743,69.67308812899374,90.69720791549331,852.7112723988653,29622.753744,17120.657744,850,850,Fri 08 Dec 2017 01:51:18 GMT
23088 -- SL-16 R/B,6659 -- METEOR 1-15,0.35805288194444446,Thu 07 Dec 2017 08:35:35 GMT,2.2591174924256268,-2.01458415406978,0.4360099438442849,0.9246393132583471,13.441518374666186,-0.011695690663791993,-12.170335222620736,5.705893444180823,-55.31070905305323,44.110165931624486,865.6400617530513,35655.1916,83749.3166,850,850N,Fri 08 Dec 2017 01:51:18 GMT
5685 -- SL-8 R/B,25567 -- NADEZHDA 5,0.40172119212962965,Thu 07 Dec 2017 09:38:28 GMT,3.4029879755311314,-3.211294931280463,-0.6663698790157214,-0.9076691083698533,11.914124175407222,0.00911585826624605,-9.628650666003972,7.016791155522027,69.6565328857008,160.94361295894458,985.1822222507377,100289.62368,100731.16068,975,975,Fri 08 Dec 2017 01:51:18 GMT
6020 -- SL-8 R/B,24773 -- SL-8 R/B,0.7292499421296297,Thu 07 Dec 2017 17:30:07 GMT,3.2742141798245155,3.2708615916772033,0.09964933796809054,0.10960361716465558,11.06402025038937,0.013022494161056556,-8.32328846388741,7.2893925441418395,71.5787325108612,64.53069244819952,992.9215644419809,106040.713392,83336.924392,975,975,Fri 08 Dec 2017 01:51:18 GMT
6207 -- SL-8 R/B,6707 -- COSMOS 574,0.4696721064814815,Thu 07 Dec 2017 11:16:19 GMT,1.5075578360443378,-0.06822135949460062,0.8714010649225675,1.2283064190911828,11.971074602035248,-0.012089868858089403,-9.744976695308525,6.952834685972196,-60.819750113859875,-85.44217460564316,1001.0331120281614,135562.432784,165927.538784,975,975,Fri 08 Dec 2017 01:51:18 GMT
7350 -- SL-8 R/B,4799 -- COSMOS 385,0.9272766782407408,Thu 07 Dec 2017 22:15:16 GMT,3.2208242717072046,2.4124020367071353,1.4172085801875218,1.5954764939523303,10.980239776435763,-0.019958707587814616,-8.187424055415498,7.3165124570943725,71.73772415537198,-114.74544376601882,985.5090954943311,218850.001536,87874.424536,975,975,Fri 08 Dec 2017 01:51:18 GMT
7350 -- SL-8 R/B,16510 -- COSMOS 1727,0.23395618055555556,Thu 07 Dec 2017 05:36:53 GMT,4.667554855230646,4.625373214488718,0.1369716549627483,-0.6109252974041738,14.371294293784858,-0.0012061842359557887,-14.019933018297873,-3.158413586934734,-56.24232097626326,-55.03612137955398,982.3730078012653,158947.110528,28494.339527999997,975,975,Fri 08 Dec 2017 01:51:18 GMT
7477 -- SL-8 R/B,18710 -- SL-8 R/B,0.7279198032407408,Thu 07 Dec 2017 17:28:12 GMT,1.7848513077253847,1.7378021244840056,0.31767710209521466,0.254596201132983,9.148219770877843,0.008035717599479542,-5.689610823239305,7.163671480714415,81.08207942448443,-12.914886816426668,1001.8504380149623,119088.399872,137914.215872,975,975,Fri 08 Dec 2017 01:51:18 GMT
8073 -- SL-8 R/B,6206 -- COSMOS 521,0.3996855439814815,Thu 07 Dec 2017 09:35:32 GMT,3.3846613210832737,-2.383017570615266,0.6557108825114556,-2.312401944978279,14.128621682927516,0.004572059396454052,-13.587857651503327,-3.87144084263791,-10.509793670758595,159.24271924033877,1001.3975833121298,108197.767232,72724.59123199999,975,975,Fri 08 Dec 2017 01:51:18 GMT
9044 -- SL-8 R/B,6707 -- COSMOS 574,0.6747513194444444,Thu 07 Dec 2017 16:11:38 GMT,3.915957048448974,-2.8170137924762457,-0.3370098930973327,-2.6991808443006304,14.59879565555014,-0.006592540306919204,-14.487769194558886,1.7970350291834831,6.204324508165785,-173.02056498958135,991.6201668697773,136642.231432,183646.382432,975,975,Fri 08 Dec 2017 01:51:18 GMT
9044 -- SL-8 R/B,11667 -- COSMOS 1150,0.22992144675925927,Thu 07 Dec 2017 05:31:05 GMT,3.280102959296585,-3.1844372486302746,0.11610518503561615,0.777788158260053,14.522796774224817,0.018538927022470945,-14.356193382630432,2.1933978239566625,-36.080862820265956,-18.069801964393637,1004.4800917274388,98208.930952,27987.394951999995,975,975,Fri 08 Dec 2017 01:51:18 GMT
9510 -- SL-8 R/B,10692 -- COSMOS 991,0.6824338888888889,Thu 07 Dec 2017 16:22:42 GMT,2.86275017202077,0.8537403440159324,-1.2368975704861804,-2.436503718965105,13.073108772881138,0.011627322792021914,-11.645454645979061,5.940490205478933,-74.52346701237964,-91.96082688385168,1013.3140377029326,111655.194384,103045.863384,975,975,Fri 08 Dec 2017 01:51:18 GMT
9638 -- SL-8 R/B,6148 -- COSMOS 514,0.24178872685185185,Thu 07 Dec 2017 05:48:10 GMT,2.311493553477627,-0.6916135620340356,0.3067552094287239,-2.1841644558202242,14.60971272395016,0.01782813927473126,-14.46866235990133,-2.025141365183102,-27.942483334215698,-65.20211280910722,962.170938200104,116543.238176,67195.61917600001,975,975,Fri 08 Dec 2017 01:51:18 GMT
